epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.31288,2.49591,3.8522,2.28441,0.00267,0.8,0.02049,0.00492,2.72124,3.8558,2.49524,0,0,0
2,2.66971,2.06107,3.53351,2.01995,0.00267,0.8,0.02058,0.00514,2.65279,3.76485,2.47065,1.9604e-05,1.9604e-05,1.9604e-05
3,3.42175,2.407,4.79771,2.56211,0.00267,0.8,0.03614,0.01155,2.60454,3.69489,2.42032,3.8416e-05,3.8416e-05,3.8416e-05
4,4.13009,2.38177,3.74604,2.40654,0.00267,0.8,0.05691,0.01647,2.5391,3.59759,2.39261,5.6436e-05,5.6436e-05,5.6436e-05
5,4.82162,2.41692,4.37921,2.32948,0.00333,1,0.12253,0.05629,2.4791,3.6606,2.34585,7.3664e-05,7.3664e-05,7.3664e-05
6,5.56293,1.79504,3.30036,1.87109,0.00333,1,0.26524,0.10972,2.27534,3.58788,2.22043,9.01e-05,9.01e-05,9.01e-05
7,6.31707,1.53602,3.41552,1.62954,0.00333,1,0.30312,0.11785,2.20003,3.55187,2.1505,0.000105744,0.000105744,0.000105744
8,7.08127,1.77408,3.84544,1.9835,0.00333,1,0.31648,0.12742,2.08032,3.61187,2.08245,0.000120596,0.000120596,0.000120596
9,7.78308,1.60548,3.06395,1.84138,0.00333,1,0.31648,0.12742,2.08032,3.61187,2.08245,0.000134656,0.000134656,0.000134656
10,8.50495,1.76988,3.51287,1.76281,0.00333,1,0.34993,0.1798,1.93612,3.45626,2.00069,0.000147924,0.000147924,0.000147924
11,9.19661,1.09067,3.07567,1.32171,0.00333,1,0.34993,0.1798,1.93612,3.45626,2.00069,0.0001604,0.0001604,0.0001604
12,9.92529,1.44566,3.37522,1.58628,0.00333,1,0.65412,0.33076,1.81946,3.3472,1.84387,0.000172084,0.000172084,0.000172084
13,10.5961,1.60091,3.28329,1.82246,0.00333,1,0.65412,0.33076,1.81946,3.3472,1.84387,0.000182976,0.000182976,0.000182976
14,11.318,1.74305,3.02541,1.78823,0.00333,1,0.65037,0.31485,1.48993,3.32572,1.58132,0.000193076,0.000193076,0.000193076
15,12.0282,1.19688,2.57673,1.42143,0.00333,1,0.65037,0.31485,1.48993,3.32572,1.58132,0.000202384,0.000202384,0.000202384
16,12.7528,1.39127,2.41952,1.62647,0.00333,1,0.60034,0.41774,1.38871,3.20154,1.41625,0.0002109,0.0002109,0.0002109
17,13.4611,1.77205,2.52333,1.71196,0.00333,1,0.60034,0.41774,1.38871,3.20154,1.41625,0.000218624,0.000218624,0.000218624
18,14.2838,1.40012,2.10062,1.43655,0.00333,1,0.67713,0.43034,1.17296,3.08766,1.21808,0.000225556,0.000225556,0.000225556
19,14.9831,1.09522,2.36562,1.2847,0.00333,1,0.67713,0.43034,1.17296,3.08766,1.21808,0.000231696,0.000231696,0.000231696
20,15.6689,1.33395,1.89008,1.28495,0.00333,1,0.68607,0.46153,1.24823,2.93559,1.18274,0.000237044,0.000237044,0.000237044
21,16.3587,1.35452,2.24922,1.52552,0.00333,1,0.68607,0.46153,1.24823,2.93559,1.18274,0.0002416,0.0002416,0.0002416
22,17.0778,1.3712,2.10754,1.37844,0.00333,1,0.67724,0.4769,1.19412,2.85192,1.14045,0.000245364,0.000245364,0.000245364
23,17.7891,1.91568,2.37325,1.64613,0.00333,1,0.67724,0.4769,1.19412,2.85192,1.14045,0.000248336,0.000248336,0.000248336
24,18.4975,0.9541,1.9621,1.08562,0.00333,1,0.67724,0.4769,1.19412,2.85192,1.14045,0.000250516,0.000250516,0.000250516
25,19.2113,0.99724,1.66,1.20529,0.00333,1,0.66991,0.52021,1.0818,2.78197,1.12816,0.000251904,0.000251904,0.000251904
26,19.9097,1.04995,1.69747,1.16991,0.00333,1,0.66991,0.52021,1.0818,2.78197,1.12816,0.0002525,0.0002525,0.0002525
27,20.6215,1.14203,1.73313,1.1417,0.00333,1,0.66991,0.52021,1.0818,2.78197,1.12816,0.000252304,0.000252304,0.000252304
28,21.3603,1.24795,1.77393,1.32718,0.00333,1,0.68609,0.55008,0.85337,2.79499,1.07943,0.000251316,0.000251316,0.000251316
29,22.0713,0.97074,1.48641,1.09351,0.00333,1,0.68609,0.55008,0.85337,2.79499,1.07943,0.000249536,0.000249536,0.000249536
30,22.7978,1.08039,1.85802,1.24611,0.00333,1,0.68609,0.55008,0.85337,2.79499,1.07943,0.000246964,0.000246964,0.000246964
31,23.5281,0.84429,1.27128,1.04267,0.00333,1,0.7114,0.5767,0.77671,2.78465,1.03709,0.0002436,0.0002436,0.0002436
32,24.2341,0.99825,1.32027,1.20393,0.00333,1,0.7114,0.5767,0.77671,2.78465,1.03709,0.000239444,0.000239444,0.000239444
33,24.9494,0.909,1.58541,1.23044,0.00333,1,0.7114,0.5767,0.77671,2.78465,1.03709,0.000234496,0.000234496,0.000234496
34,25.7675,0.75196,1.72646,1.14734,0.00333,1,0.71131,0.56462,0.81067,2.81269,1.04688,0.000228756,0.000228756,0.000228756
35,26.4582,0.76848,1.79643,1.03704,0.00333,1,0.71131,0.56462,0.81067,2.81269,1.04688,0.000222224,0.000222224,0.000222224
36,27.1656,0.69837,1.2237,1.05032,0.00333,1,0.71131,0.56462,0.81067,2.81269,1.04688,0.0002149,0.0002149,0.0002149
37,27.8604,1.00218,1.55253,1.15889,0.00333,1,0.71131,0.56462,0.81067,2.81269,1.04688,0.000206784,0.000206784,0.000206784
38,28.616,0.71467,1.54686,1.05186,0.00333,1,0.73032,0.5803,0.79624,2.77809,1.03959,0.000197876,0.000197876,0.000197876
39,29.3554,0.95968,1.4209,1.02544,0.00333,1,0.73032,0.5803,0.79624,2.77809,1.03959,0.000188176,0.000188176,0.000188176
40,30.1015,0.9478,1.4137,1.13524,0.00333,1,0.73032,0.5803,0.79624,2.77809,1.03959,0.000177684,0.000177684,0.000177684
41,30.8284,0.75148,2.04825,1.03428,0.00333,1,0.73032,0.5803,0.79624,2.77809,1.03959,0.0001664,0.0001664,0.0001664
42,31.5864,0.72812,1.99439,0.99775,0.00333,1,0.75698,0.63312,0.72167,2.75491,0.96634,0.000154324,0.000154324,0.000154324
43,32.295,0.93849,2.07131,1.28596,0.00333,1,0.75698,0.63312,0.72167,2.75491,0.96634,0.000141456,0.000141456,0.000141456
44,33.0127,0.77448,1.89657,1.12811,0.00333,1,0.75698,0.63312,0.72167,2.75491,0.96634,0.000127796,0.000127796,0.000127796
45,33.7065,0.92118,1.78692,1.14244,0.00333,1,0.75698,0.63312,0.72167,2.75491,0.96634,0.000113344,0.000113344,0.000113344
46,34.4557,0.87436,1.81082,1.19935,0.00333,1,0.79741,0.66747,0.65526,2.71689,0.94228,9.81e-05,9.81e-05,9.81e-05
47,35.1754,0.57042,1.7982,0.87281,0.00333,1,0.79741,0.66747,0.65526,2.71689,0.94228,8.2064e-05,8.2064e-05,8.2064e-05
48,35.8853,0.63898,1.81651,0.94964,0.00333,1,0.79741,0.66747,0.65526,2.71689,0.94228,6.5236e-05,6.5236e-05,6.5236e-05
49,36.5939,0.80739,1.85026,0.96056,0.00333,1,0.79741,0.66747,0.65526,2.71689,0.94228,4.7616e-05,4.7616e-05,4.7616e-05
50,37.3997,0.73623,1.95678,0.95259,0.00983,1,0.81318,0.68118,0.65923,2.66834,0.94328,2.9204e-05,2.9204e-05,2.9204e-05
